Отметка времени,Баллы,"1. What is your age?
",2. What is your gender? ,3. What is your marital status?,4. What is your highest level of education?,5. Is your current occupation related to STEM fields?,6. Is your current occupation related to economics and/or finance?,7. How many years of professional experience do you have?,8. What is your annual income in EUR after taxes? ,"9. If you stopped working today and liquidated all your assets (both financial and real estate), for how many months could you maintain your current lifestyle and spending habits? ",10. How would you rate your financial literacy?,11. How confident are you in your investment decisions?,12. How would you rate your risk tolerance?,13. What is your typical investment horizon?,14. How do you view the short-term (next 1–2 years) economic outlook for your home country (where you reside and work)?,15. How do you view the long-term (next 5–10 years) economic outlook for your home country (where you reside and work)?,16. How do you view the short-term (next 1–2 years) economic outlook for the global economy?,17. How do you view the long-term (next 5–10 years) economic outlook for the global economy?,"18. What percentage of your financial portfolio (stocks, bonds, ETFs, investment funds) is invested in assets outside your home country?","19. What percentage of your entire assets (real estate, financial assets including cryptocurrency and other instruments, and other assets) is invested in assets outside your home country? ",20. How important are investment fees when choosing investments?,21. What is your annual expected rate of return on your investments?,Адрес электронной почты
11/23/2024 0:35:08,0,34,Male,Single,Master’s degree and higher,Yes,No,4,Between 25 000 and 40 000,12,7,6,9,1–5 years,4,6,4,8,0,100,8,30,
11/23/2024 7:13:25,0,51,Female,Single,Master’s degree and higher,Yes,No,25,More than 60 000,60,10,10,7,5–10 years,10,10,7,7,50,50,7,10,
11/23/2024 14:42:58,0,22,Male,Single,Bachelor’s degree,No,Yes,2,Below 15 000,12,7,8,8,1–5 years,4,5,6,7,40,30,7,15,
11/25/2024 13:17:42,0,22,Female,Have a patner,Bachelor’s degree,No,Yes,2,Below 15 000,14,9,8,6,1–5 years,6,4,8,6,30,15,9,15,
11/25/2024 13:31:28,0,35,Male,Single,Bachelor’s degree,Yes,No,1,Below 15 000,2,2,1,2,Less than 1 year,2,2,2,2,0,0,8,5,
11/25/2024 13:41:31,0,28,Male,Single,Master’s degree and higher,Yes,Yes,10,More than 60 000,6,5,6,8,1–5 years,8,10,6,7,70,100,4,50,
11/25/2024 14:15:26,0,21,Female,Have a patner,Bachelor’s degree,No,Yes,3,Between 25 000 and 40 000,8,9,10,7,1–5 years,9,8,8,8,30,30,7,18,
11/25/2024 14:26:01,0,22,Male,Single,Bachelor’s degree,No,Yes,3,Between 15 000 and 40 000,4,8,7,5,1–5 years,6,7,6,4,100,100,4,25,
11/25/2024 14:38:11,0,20,Male,Have a patner,Bachelor’s degree,No,Yes,1,Below 15 000,6,9,7,8,5–10 years,6,8,6,8,100,100,8,10,
11/25/2024 14:41:01,0,22,Female,Have a patner,High school diploma,Yes,Yes,3,Between 15 000 and 40 000,6,9,9,8,1–5 years,3,4,7,8,100,0,9,25,
11/25/2024 15:07:16,0,21,Male,Single,High school diploma,Yes,No,1,Below 15 000,3,6,5,4,Less than 1 year,4,4,5,4,0,0,7,17,
11/25/2024 15:08:08,0,21,Male,Single,Master’s degree and higher,No,Yes,0,Between 15 000 and 40 000,1,8,3,1,Less than 1 year,4,7,2,5,100,100,10,7,
11/25/2024 16:04:33,0,33,Male,Single,Bachelor’s degree,Yes,Yes,2,Below 15 000,3,8,8,6,1–5 years,7,8,6,6,10,100,9,5,
